,Name,Price,Format,Rating,URL
82,"Practicing Mindfulness: 75 Essential Meditations to Reduce Stress, Improve Mental Health, and Find Peace in the Everyday",$12.79,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Practicing-Mindfulness-Essential-Meditations-Everyday/dp/1641521716/ref=sr_1_90?dchild=1&keywords=self+love&qid=1633860682&sr=8-90
83,A Self-Love Journal: 100 Things I Love about Me (100 Things I Love About You),$12.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Self-Love-Journal-Things-about-About/dp/1638073333/ref=sr_1_91?dchild=1&keywords=self+love&qid=1633860682&sr=8-91
84,"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom",$16.79,Hardcover ,4.9 out of 5 stars,https://www.amazon.com//Feeding-Soul-Because-Its-Business/dp/0063080281/ref=sr_1_92?dchild=1&keywords=self+love&qid=1633860682&sr=8-92
85,"Life Begins at the End of your Comfort Zone: 74 Thoughts, Epiphanies, Affirmations and Prayers to Help You Heal",$10.99,Paperback ,0,https://www.amazon.com//Life-Begins-your-Comfort-Zone/dp/1737870711/ref=sr_1_93?dchild=1&keywords=self+love&qid=1633860682&sr=8-93
86,It's Time To Love Journal: Empower self-love by documenting love,$12.99,Paperback ,0,https://www.amazon.com//Its-Time-Love-Journal-documenting/dp/B09GJGH4P7/ref=sr_1_94?dchild=1&keywords=self+love&qid=1633860682&sr=8-94
87,"Positive Affirmations for Black Women to Increase Confidence and Self-Love: Written for BIPOC Women with a Focus on Motivation, Leadership, Healing, Growth, Health, Money, and Success",$0.00,Audible Audiobook ,4.7 out of 5 stars,https://www.amazon.com//Positive-Affirmations-Increase-Confidence-Self-Love/dp/B095WZWY8X/ref=sr_1_95?dchild=1&keywords=self+love&qid=1633860682&sr=8-95
88,Permission Granted: Kick-Ass Strategies to Bootstrap Your Way to Unconditional Self-Love,$15.26,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Permission-Granted-Strategies-Bootstrap-Unconditional/dp/1608687260/ref=sr_1_96?dchild=1&keywords=self+love&qid=1633860682&sr=8-96
89,"What I Love About Me: A guided journal to boost your self love, practice positivity & embrace who you are.",$16.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//What-Love-About-Me-positivity/dp/B098CYYG7G/ref=sr_1_97?dchild=1&keywords=self+love&qid=1633860687&sr=8-97
90,For the Love of Self: A Transformational Journal,$14.97,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Love-Self-Transformational-Journal/dp/1079842527/ref=sr_1_98?dchild=1&keywords=self+love&qid=1633860687&sr=8-98
91,Find Your Happy!: A Kid's Self Love Book (Empower Kids Series),$9.95,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Find-Your-Happy-Kids-Self/dp/1985414031/ref=sr_1_99?dchild=1&keywords=self+love&qid=1633860687&sr=8-99
